,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,North Carolina,Nebraska,New Hampshire,New Jersey,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia
StateAbbrev,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
9/30/2001,178443,101654,83059,147700,255748,225871,207887,252653,164780,135866,142952,265463,100351,138766,163747,104969,98887,98071,111735,265749,181245,133584,132375,167410,108563,88603,140104,105969,179614,223714,197768,152226,116377,83696,169027,113992,173485,125491,112880,113814,113513,185751,155079,144521,193223,129636,70937
10/31/2001,179444,101945,83183,148352,257928,227066,209932,255512,165708,137010,143558,266666,100706,139241,164808,105300,99322,98336,112232,268689,182442,134713,132941,169179,109126,88943,140453,106200,181298,225825,198966,153301,116714,84003,169620,114470,175810,125796,113024,114124,113636,186224,156145,145354,194040,130198,71150
11/30/2001,180672,102187,83255,149077,260086,228014,211450,257925,166626,138137,144122,268102,101043,139572,165882,105434,99544,98586,112547,271545,183737,135995,133439,170888,109728,89125,140679,106438,183073,227964,199939,154410,117023,84232,170127,115020,177978,126092,113363,114341,113724,186450,157317,146476,194763,130801,71263
12/31/2001,181982,102344,83302,149741,262257,228882,212889,260534,167591,139237,144655,269857,101390,139945,166822,105676,99808,98825,112811,274333,185077,137161,133886,172204,110375,89254,140870,106691,184863,230083,201040,155572,117311,84433,170756,115557,180351,126413,113726,114494,113810,186574,158474,147611,195712,131404,71335
1/31/2002,183123,102433,83405,150336,264462,229442,214332,262936,168522,140314,145150,271196,101684,140149,167704,105689,100018,99011,112978,277001,186632,138387,134398,173421,111038,89365,141030,106961,186738,232218,202036,156754,117580,84633,171385,116130,182390,126619,113803,114620,113920,186631,159670,148835,196456,132056,71382
2/28/2002,183772,102601,83601,150867,266844,230095,216055,265760,169513,141344,145689,272889,101940,140468,168625,105794,100291,99244,113276,279477,188189,139694,134927,174602,111736,89504,141226,107267,188465,234461,203028,157918,117851,84902,172058,116698,184580,126765,114117,114810,114158,186607,160898,149897,197246,132699,71579
3/31/2002,184135,102755,83830,151475,269298,230798,217850,268071,170530,142359,146190,274486,102164,140685,169716,105779,100626,99466,113659,282132,189859,141163,135475,175815,112335,89654,141450,107585,190055,236805,203925,158964,118149,85149,172643,117318,186687,126907,114340,115025,114506,186821,162129,151021,197860,133285,71819
4/30/2002,184685,102929,84066,152084,271952,231584,219721,270618,171561,143390,146707,276501,102554,140843,170653,105851,101074,99712,114207,284771,191526,142860,135926,176915,112885,89697,141631,107897,191951,239131,205014,160044,118442,85398,173225,117959,189033,127143,114694,115209,114926,186937,163412,152130,198404,133844,72069
5/31/2002,185108,103145,84297,152664,274794,232418,221696,273375,172525,144467,147182,277953,103017,140996,171638,105925,101147,99913,115154,287618,193408,144205,136268,178269,113390,89842,141862,108244,193557,241504,205999,161140,118743,85626,173891,118588,191622,127422,114949,115399,115351,186936,164617,153131,198803,134340,72238
6/30/2002,185443,103385,84561,153318,278121,233143,223879,276582,173579,145581,147670,279609,103521,141270,172573,106102,101142,100129,115875,290613,195278,145575,136610,179552,113928,90035,142074,108568,195438,243981,206867,162339,119037,85881,174634,119204,194351,127666,115471,115606,115838,186818,165950,154123,199183,134840,72415
7/31/2002,185490,103639,84839,153985,281890,233838,226180,279625,174684,146689,148119,281917,103906,141584,173739,106251,100994,100382,116588,294039,197268,146791,136903,180882,114478,90413,142350,108869,197240,246619,207616,163574,119343,86156,175354,119847,197239,127917,115882,115845,116319,186768,167218,155016,199746,135289,72613
8/31/2002,186039,103866,85099,154738,285885,234216,228274,282428,175885,147854,148501,284902,104219,141855,174856,106272,100991,100659,116464,297376,199252,148123,137243,181949,114999,90629,142562,109171,199494,249698,208567,164850,119626,86408,175874,120618,200746,128191,116249,116025,116813,186758,168577,155812,200332,135798,72879
9/30/2002,186605,104095,85373,155332,289808,234712,230043,285459,176955,148992,148889,288685,104458,142124,175921,106314,100932,100936,116551,300906,201246,149390,137517,183059,115574,90915,142773,109498,201686,253071,209570,166110,119914,86662,176432,121403,204923,128479,116614,116213,117233,186626,169921,156443,200978,136316,73160
10/31/2002,187253,104314,85727,156013,293769,235248,232319,288754,178107,150199,149288,291870,104753,142477,176940,106412,100908,101199,116605,304794,203270,150637,137844,184163,116170,91109,142963,109907,204048,256643,211003,167335,120222,86919,177006,122239,208714,128769,116736,116425,117620,186291,171342,157024,201628,136935,73536
11/30/2002,187938,104532,86089,156724,297969,235759,234852,293339,179234,151427,149680,295144,105117,142892,177861,106617,101506,101470,117051,308831,205293,151957,138190,185421,116768,91391,143171,110280,206361,260141,212602,168626,120586,87205,177807,122963,212057,129083,116958,116667,118016,186151,172779,157956,202402,137619,73755
12/31/2002,188710,104782,86453,157584,302303,236014,237455,298404,180522,152830,150003,298080,105500,143175,178954,106801,102049,101723,117504,312765,207508,153351,138561,186868,117292,91637,143382,110678,208790,263641,214363,170030,120961,87471,178594,123750,214796,129412,117299,116929,118403,186021,174238,158999,202923,138360,73937
1/31/2003,189717,105022,86680,158468,306466,236238,239841,303073,181958,154291,150353,301796,105925,143440,180014,106908,102617,101968,117989,316144,209745,154658,138900,188374,117822,91831,143612,111057,211143,267124,216102,171429,121330,87688,179494,124552,217914,129763,118061,117142,118680,186005,175692,160120,203636,139089,74012
2/28/2003,190270,105329,86942,159329,310280,236510,242031,307016,183640,155842,150704,305549,106354,143708,181208,107012,102828,102234,118405,319523,212089,155843,139299,189788,118435,92060,143847,111477,213526,270519,217761,172879,121690,87894,180326,125376,221136,130180,118837,117395,118767,186085,177194,161107,204408,139796,74283
3/31/2003,190823,105652,87183,160108,314105,236934,244382,310602,185380,157371,151114,309796,106764,143817,182247,107118,102764,102519,118709,322854,214503,156937,139576,191137,119071,92325,144102,111889,216034,273786,219079,174578,122022,88150,181164,126185,224742,130564,119214,117618,118751,186040,178697,162118,205502,140601,74565
4/30/2003,191201,106045,87492,160881,317946,237207,246662,314605,187013,158901,151436,313512,107073,144267,183405,107371,102403,102832,118793,326274,216860,158071,139970,192343,119712,92683,144334,112304,218142,276972,220311,176170,122381,88450,181935,126993,228200,130920,119472,117890,118790,186138,180222,163022,206542,141331,74945
5/31/2003,192067,106335,87836,161594,321921,237245,249066,318681,188531,160367,151719,317780,107329,144690,184374,107544,102387,103134,118756,329600,219205,159448,140428,193596,120320,92947,144574,112731,220425,280117,221694,177682,122737,88729,182680,127889,231775,131216,119338,118161,118923,186343,181709,163933,207680,142105,75281
6/30/2003,193336,106565,88179,162259,325355,237260,251333,322717,189948,161746,151981,321470,107567,145144,185300,107726,102735,103412,118835,332690,221531,160821,140986,194733,120934,93158,144773,113141,222448,283315,223230,179008,123139,88983,183454,128847,235379,131555,119527,118452,119161,186667,183177,164914,208683,142853,75619
7/31/2003,195242,106755,88550,162812,329130,237352,253613,326401,191474,163079,152269,324980,107903,145343,186172,107886,103554,103660,119070,335185,223896,162343,141499,196004,121501,93218,145000,113612,224692,286559,225087,180352,123544,89222,184281,129772,239238,131929,119773,118710,119385,186859,184710,166128,209746,143659,75903
8/31/2003,196834,107023,88903,163471,333293,237603,255747,330366,193096,164418,152603,328760,108322,145541,187268,108120,104192,103935,119628,337663,226233,164366,141968,197303,122132,93400,145265,114082,226695,289696,227399,181912,124017,89471,185298,130640,242491,132368,120436,118987,119663,186942,186304,168114,210956,144664,76118
9/30/2003,198468,107312,89296,164392,338149,237981,258243,334060,194955,165934,152927,333040,108802,145900,188539,108398,104610,104257,120150,340060,228814,166617,142474,198674,122766,93528,145541,114666,228947,292576,230691,183597,124482,89715,186370,131529,245397,132800,121230,119269,119900,187079,188023,170314,212343,145737,76345
10/31/2003,199983,107539,89671,165418,343005,238285,260072,338039,196601,167628,153232,339022,109275,146245,189781,108664,104915,104584,120739,342440,231692,169032,143015,199954,123415,93735,145795,115206,231207,295191,234474,185343,124936,89941,187627,132481,248271,133239,122201,119571,120211,187348,190060,172554,213794,146887,76518
11/30/2003,201317,107733,90039,166443,348212,238806,262194,341015,197999,169464,153558,345328,109725,146620,190953,108916,104895,104886,121092,344834,234695,170666,143504,201256,123978,93907,146053,115764,233174,297802,238853,186804,125298,90177,188791,133382,251700,133654,122908,119881,120486,187666,192213,173794,215091,147727,76836
12/31/2003,202471,107919,90413,167463,353405,239314,264427,344384,199019,171251,153958,350837,110122,147247,191985,109152,105125,105176,121475,347408,237563,172315,143972,202510,124576,94153,146366,116243,234804,300571,243177,188161,125655,90426,190010,134247,255425,134100,123426,120195,120803,188078,194433,174904,216499,148506,77215
1/31/2004,202844,108194,90813,168686,359383,239830,267097,349405,200513,173088,154360,356624,110528,147892,193207,109313,105218,105452,121947,350244,240435,173659,144403,203673,125157,94500,146751,116712,236507,303556,248077,189616,125975,90711,191164,135067,258911,134563,123633,120572,121374,188473,196589,176024,218075,149404,77687
2/29/2004,204155,108485,91258,169867,365752,240339,269751,354111,202299,174958,154780,362637,110874,148624,194378,109432,105520,105726,122530,353010,243611,175544,144810,204928,125669,94829,147140,117217,238480,306713,252542,191086,126342,91004,192489,136176,262573,135045,123999,120940,122408,188855,199018,177748,219808,150515,78146
3/31/2004,205315,108840,91733,171236,372532,240756,272021,359112,204225,176902,155185,369164,111281,149358,195591,109643,106055,105936,123214,355688,246839,177537,145290,206275,126123,95144,147513,117695,240504,310145,258450,192420,126719,91267,193870,137271,265973,135546,124609,121340,123762,189216,201656,179429,221468,151589,78720
4/30/2004,207038,109159,92232,172557,379473,241297,274517,362916,206306,178829,155645,375737,111650,150023,196866,109935,106920,106107,123850,358406,250198,179790,145688,207749,126526,95380,147872,118187,242562,313543,263731,193818,127083,91515,195225,138404,269221,136048,125237,121732,124902,189475,204459,181138,223180,152662,79234
5/31/2004,208325,109552,92665,174172,387253,241849,277075,368441,208390,180983,156084,382336,111991,150687,198246,110322,107635,106312,124387,361174,253628,182319,146090,209099,126992,95674,148194,118656,244830,317282,271272,195383,127447,91771,196731,139537,272740,136668,126155,122114,125747,189621,207503,183364,225168,153824,79644
6/30/2004,209940,110002,93101,175624,396069,242509,280016,374536,211243,183394,156483,390485,112283,151233,199813,110589,108280,106576,124938,364104,257470,184998,146466,210574,127475,95907,148555,119183,247282,320990,279430,197180,127780,92046,198240,140707,276820,137294,127028,122491,126241,189706,210916,185735,227317,155071,79981
7/31/2004,211223,110512,93502,177542,404756,243120,282915,381558,214109,186071,156892,399017,112549,151958,201263,110867,108576,106898,125421,367433,261486,187686,146917,211976,128043,96289,148883,119721,249507,324933,288654,199022,128136,92325,199971,142021,281010,137932,128098,122882,126837,189773,214682,187900,229363,156391,80437
8/31/2004,212583,110973,93998,179865,412851,243715,285704,387486,216949,188991,157356,407404,112861,152499,202632,111214,109005,107190,126097,370815,265930,189316,147335,213356,128529,96596,149223,120226,251567,328860,296060,200732,128416,92648,201588,143240,284647,138512,128824,123304,127383,189870,218693,189053,231177,157368,81067
9/30/2004,214092,111404,94480,182168,420549,244102,288353,394537,219353,192011,157858,414272,113203,152998,203765,111564,109897,107466,126696,374300,270622,190618,147709,214589,128948,97026,149613,120542,253349,332843,302013,202447,128708,93013,203328,144554,287685,139190,129361,123764,128050,189985,222661,190096,233104,158324,81679
10/31/2004,215697,111858,94985,184864,428233,244582,291335,403115,221952,195075,158397,421133,113601,153704,204987,111946,110984,107814,127259,377253,275146,191768,148076,215760,129319,97359,150052,120831,255129,336893,306977,204072,128985,93426,205135,145752,291051,139943,129833,124265,128659,190171,226331,191423,235276,159193,82269
11/30/2004,217394,112388,95451,187789,435489,245025,294418,411909,225490,198133,158898,428001,113953,154683,206369,112298,112061,108141,127814,380051,279814,193820,148450,216809,129786,97751,150565,121117,257159,340903,311820,205940,129312,93751,207192,147125,294432,140772,130556,124791,129249,190285,229721,193404,237822,160298,82800
12/31/2004,218934,112952,95951,191858,442890,245709,297449,418486,229822,201409,159361,436503,114382,156020,207892,112691,112488,108498,128329,382657,284336,195812,148818,217895,130303,98160,151072,121580,259351,344861,317086,207718,129637,94086,209199,148505,298019,141574,131323,125345,129828,190417,233302,195579,240757,161426,83328
1/31/2005,220848,113440,96601,196567,449739,246439,300032,421820,233157,204904,159769,443280,114808,157296,209231,113581,113008,108873,128621,385244,289297,198434,149207,219220,130858,98540,151497,122027,261523,348838,321786,209541,130026,94451,211296,149991,301836,142389,132161,125942,130454,190680,237095,197774,243818,162234,83900
2/28/2005,222664,113811,97292,201443,457139,247094,302794,427860,235436,208625,160165,450923,115295,158770,210579,114567,113478,109285,128838,388301,293892,200803,149523,220596,131398,99012,151995,122436,263752,352488,328452,211375,130408,94794,213662,151152,305019,143113,132881,126582,130858,191197,240695,199711,246504,162868,84553
3/31/2005,224555,114069,98006,206082,464344,247730,305538,435060,237347,212547,160587,458978,115729,160363,211902,115635,113984,109779,128998,391023,298400,203057,149879,221777,131965,99470,152454,122863,265909,356032,333698,213129,130790,95108,216326,152346,307660,143983,133684,127259,131109,191829,244321,201613,249385,163545,85087
4/30/2005,226296,114350,98647,211327,471988,248350,308402,443932,239674,216751,161100,469038,116267,161578,213354,116203,114321,110286,129576,393641,303179,204622,150228,223002,132554,99984,153048,123280,268149,359781,340754,215003,131128,95399,219445,153586,310294,144838,134581,127944,131287,192536,248223,203986,252433,164549,85656
5/31/2005,228170,114717,99294,217610,478707,248989,311121,450154,242861,221263,161715,480003,116949,163018,214798,116704,114786,110792,130353,395658,308287,205812,150637,224250,133197,100513,153625,123730,269816,363718,343993,216840,131421,95748,222547,154929,312783,145687,135393,128659,131544,193234,252713,205861,255823,165677,86198
6/30/2005,229560,115164,99941,225562,484944,249558,314055,456652,245115,226186,162379,491008,117729,164580,216298,117201,114885,111240,131309,397140,313904,206889,150930,225401,133812,101190,154326,124133,271235,367877,347129,218638,131721,96075,225842,156331,315025,146498,136117,129403,131938,193845,257041,207595,259721,166836,86870
7/31/2005,231082,115671,100611,234171,491285,250158,316950,464077,247269,231567,162992,502115,118505,166878,217814,117731,115078,111658,132337,398445,319621,207994,151158,226395,134383,101872,155068,124523,272636,371959,348523,220463,131986,96398,229317,157744,316799,147404,136646,130212,132265,194475,261084,209256,263996,167962,87525
8/31/2005,232643,116165,101203,242539,497864,250736,320123,472830,249332,237066,163546,512816,119129,169635,219283,118146,115174,112062,133376,399357,325340,209112,151385,227192,134969,102571,155850,124910,274070,376123,351825,222316,132292,96707,233257,159329,319252,148384,137414,131013,132606,195231,264728,211405,268737,169065,87877
9/30/2005,234433,116739,101817,251317,504675,251470,323225,480405,252215,242532,164133,523288,119643,172420,220936,118497,115474,112401,134451,400660,330364,210218,151659,228177,135561,103214,156617,125310,275586,380154,355043,224298,132571,97054,237689,160847,322169,149361,138253,131828,132888,196252,268517,213746,273238,169972,88208
10/31/2005,236321,117416,102465,258568,511129,252312,326385,485924,255185,247686,164712,532493,119988,175793,222544,118755,115492,112642,135643,401879,335505,211032,151879,229016,136149,103945,157439,125713,277079,384293,358040,226248,132870,97354,241928,162317,324695,150312,139110,132586,133072,197499,272041,215748,277479,170698,88442
11/30/2005,238220,118288,103218,265839,516383,253149,329172,491612,257595,252674,165357,540860,120348,178187,224028,119021,115451,112926,136805,402900,339917,211771,152058,230000,136676,104625,158244,126068,278449,388410,360471,228029,133189,97714,245961,163679,326562,151277,139576,133376,133374,198981,275484,217458,281748,171343,88929
12/31/2005,240274,119186,103904,270623,521055,253802,331451,498017,259567,257442,165920,549352,120644,179767,225378,119229,115751,113249,138095,403004,344797,212417,152204,230646,137174,105194,159052,126324,279764,392424,361754,229839,133491,98057,250121,165005,327666,152294,139944,134177,133606,200612,278385,219018,285779,171915,89397
1/31/2006,242290,120160,104462,273651,524938,254432,333373,505027,262178,261874,166562,558778,120948,181035,226624,119199,116166,113595,139515,402756,348536,212781,152342,231095,137616,105754,159837,126629,280753,395723,363411,231411,133722,98433,254298,166189,328242,153254,140226,134954,133969,202182,281085,220241,289482,172450,89866
2/28/2006,243692,121008,104933,277503,528223,254939,334450,509075,265086,265818,167164,567757,121231,182842,227914,119151,116684,113877,140947,401677,352430,212788,152475,231367,138024,106475,160618,126970,280873,398712,363508,232870,133861,98871,257975,167266,329022,154392,140658,135709,134373,203909,283627,221583,293310,173052,89934
3/31/2006,244933,121951,105403,281658,531349,255326,336189,512689,267904,269718,167739,574058,121548,185059,228995,119011,116981,114159,142366,400746,356119,212766,152507,231646,138390,107382,161429,127306,280592,401244,364966,234174,133985,99401,261398,168253,330084,155365,141130,136393,134828,205820,286014,223318,296795,173550,89923
4/30/2006,246025,122819,105871,285679,533672,255496,337580,515347,269957,273570,168191,579257,121818,187876,230046,119138,117295,114492,143489,399621,359856,212797,152434,231839,138785,108380,162232,127600,280574,403749,365661,235357,134105,99873,264661,169243,331478,156467,141556,137079,135267,208144,287811,224883,300461,173938,89825
5/31/2006,247518,123749,106382,287206,536250,255798,339178,518580,271334,276994,168598,581817,122072,190541,230911,119329,117494,114784,144443,398626,363245,213040,152234,231900,139119,109072,163091,127862,280841,405900,366950,236386,134222,100248,268216,170239,331735,157461,142054,137737,135786,210606,288936,226483,303893,174110,90109
6/30/2006,249137,124598,106880,287267,537597,256028,339673,520012,272595,279563,169064,583729,122309,193735,231673,119647,117880,115038,145253,397506,365658,213240,151932,231982,139463,109810,163906,128184,281046,407767,366975,237396,134294,100562,272016,171254,331751,158581,142447,138422,136318,213482,289695,227839,307096,174161,90382
7/31/2006,250750,125424,107350,286158,538084,256155,340047,519651,274053,281089,169594,585641,122587,195609,232240,119974,118302,115208,145972,395603,367763,213412,151680,231959,139783,110403,164768,128351,280587,408956,366824,238242,134363,100890,275400,172075,330704,159626,142984,139105,136863,216826,290533,229395,310060,174179,90602
8/31/2006,252548,126271,107759,284638,537735,256325,339879,519342,275477,281980,170118,587281,122846,197262,232861,120312,118787,115377,146626,393542,369010,213595,151309,231856,140086,111207,165614,128410,280104,409340,365805,238958,134382,101218,278402,172749,329521,160579,143224,139821,137334,220357,291110,231028,312562,174260,90855
9/30/2006,254164,126991,108153,282394,536254,256362,339492,518915,276522,282097,170580,589987,123112,198707,233290,120682,118977,115628,147210,390856,369949,213793,150943,231452,140407,111929,166456,128502,279397,409267,364855,239360,134320,101494,280077,173265,327443,161395,143488,140504,137839,223879,291067,232288,314927,174469,91280
10/31/2006,255588,127618,108427,281105,534509,256261,338652,517555,277364,281922,170997,590505,123402,198312,233654,121040,119284,115876,147737,388573,370267,214064,150412,231144,140735,112668,167220,128800,278387,408598,363246,239655,134248,101808,281668,173757,325557,162114,143555,141174,138499,227086,290749,233416,317218,174714,91818
11/30/2006,256766,127946,108660,279329,532985,256065,337814,515201,277589,281468,171393,592038,123686,198963,233874,121255,119673,116147,148340,386133,370989,214155,149860,230786,141109,113287,167912,129123,277308,407764,362138,239827,134159,102124,283136,174138,323361,162718,143917,141786,139062,230068,290445,234474,319029,174940,92080
12/31/2006,258048,128263,108857,278082,531491,256131,337129,513851,277848,280584,171854,591799,123933,199491,234209,121443,120162,116313,148865,384209,371193,214054,149160,230717,141388,113906,168588,129347,276107,406466,361287,239991,134068,102451,284633,174488,321799,163241,144372,142341,139641,232757,290439,235456,320433,175071,92139
1/31/2007,259258,128486,109053,277085,529994,256245,337341,514202,277574,279543,172304,592188,124131,201269,234685,121512,120528,116445,149346,382825,371430,213814,148431,230683,141584,114431,169307,129494,275024,405104,360596,240094,133977,102734,285892,174902,320205,163727,144916,142818,140042,235743,290347,236284,321549,175459,92013
2/28/2007,260449,129018,109218,276082,527973,256228,337701,516045,277680,278294,172728,591696,124403,201324,235251,121632,120775,116555,149836,381878,371143,213456,147764,230741,141661,114774,169937,129619,273926,403961,359785,240229,133934,102933,286997,175375,319176,164130,145291,143245,140338,238691,290325,237169,322854,175716,92114
3/31/2007,261335,129542,109308,275322,525732,256235,337843,517191,277521,276781,173129,591689,124713,201317,235109,121682,121056,116604,150375,381181,371135,213040,147128,230566,141721,114908,170580,129651,273419,403467,357882,240407,133765,103153,288286,175890,318014,164529,145601,143686,140543,241844,290251,237495,324542,176066,92305
4/30/2007,262410,130139,109425,274663,523419,256394,337189,518010,277723,274745,173458,590877,125025,201434,234983,121835,121377,116637,150895,380040,370838,212924,146546,230110,141774,115082,171187,129631,272445,403295,354335,240454,133533,103343,289666,176238,316389,164772,145961,144105,140861,244669,290302,237884,326511,176107,92595
5/31/2007,263371,130367,109462,273619,519925,256687,336154,518655,278040,272357,173674,589901,125113,202111,234199,121865,121691,116690,151229,378571,370496,212874,145729,229322,141788,115596,171840,129490,271967,402854,350573,240615,133233,103576,290841,176541,315230,165018,146269,144490,141221,247566,289833,238176,327964,176073,92680
6/30/2007,264387,130480,109528,271823,516141,256966,334955,519003,279006,269468,173725,589241,125132,202094,233985,121830,121972,116781,151513,376796,369757,212732,144970,228286,141781,115924,172480,129125,271141,401566,347072,240659,132971,103793,291257,176688,313125,165141,146658,144810,141638,250481,288895,238749,328700,175876,92681
7/31/2007,265250,130455,109567,269666,511537,257230,333823,519959,279391,266253,173660,588763,125094,202339,233194,121730,122218,116875,151765,375217,368892,212079,143975,227131,141754,116196,173026,128941,270714,399817,343649,240789,132644,104107,291294,176987,312131,165309,146885,145065,141937,253034,287505,239185,328641,175557,92642
8/31/2007,265882,130558,109744,267814,506692,257228,333006,520382,279499,262892,173532,589392,125181,202424,232857,121707,122468,116947,152068,373789,367871,212079,143257,226298,141717,116267,173520,128878,270096,397946,339690,240868,132323,104387,290980,177248,310662,165463,147292,145249,142407,255430,286388,239166,328654,175324,92701
9/30/2007,266569,130630,109821,265517,500933,256836,332534,520429,278923,259645,173260,589369,125262,202540,232049,121680,122670,116972,152356,372601,366944,211987,142162,225534,141584,116418,173886,128927,269356,396262,335113,240880,132098,104597,290924,177457,309763,165586,147599,145301,142857,256940,285482,239443,328431,175142,93000
10/31/2007,267262,130708,109930,262876,494203,256186,331969,520717,278560,256325,172948,589872,125415,203177,231540,121653,122843,117034,152548,371000,365308,212151,141045,224838,141324,116463,174158,128607,268659,394758,330399,241085,131842,104707,290556,177585,308430,165552,148059,145240,143253,258190,284595,239921,327467,175169,93317
11/30/2007,267979,130676,109886,258864,487376,255412,330982,520385,277902,252792,172568,589456,125537,203522,230839,121781,122981,117028,152778,369444,362423,211588,139742,223706,140952,116433,174419,128352,267379,393219,324315,241298,131442,104868,289838,177732,307618,165574,148476,145059,143518,259143,283412,240598,326032,175188,93639
12/31/2007,268547,130639,109890,255221,479760,254487,329634,519251,276810,249122,172240,588948,125706,204159,229995,121994,123031,117015,152899,367733,359217,211462,138750,222181,140577,116261,174641,128110,266049,391454,317387,241300,131035,105026,288789,177854,306650,165518,148930,144820,143749,260237,281727,241127,324596,175171,93752
1/31/2008,269046,130457,109837,251231,472152,253345,327178,516889,275218,245095,171627,587314,125919,204259,229127,122164,123119,116941,153014,365583,356510,211316,137805,220418,140282,116236,174812,127803,264232,389600,308937,241245,130663,105106,287201,177806,305283,165571,149354,144440,143549,260913,279888,242063,323199,175156,93792
2/29/2008,269135,130215,109857,246161,462702,252245,324451,513817,273642,240932,170847,585695,125969,205065,226935,122162,123139,116868,152877,363179,354324,211163,136637,218363,140103,116074,174835,127279,262992,387631,299317,240901,130276,105251,286139,177649,302852,165444,149730,144028,143151,260745,277781,242137,321735,174629,93841
3/31/2008,269502,129911,109869,240719,451945,251131,321370,511019,272884,236386,169838,585091,125836,205142,226181,122077,123201,116803,152662,360515,351706,210787,135198,216582,139860,115926,174774,126701,261308,385080,289783,240580,129928,105161,284483,177298,300452,165165,149973,143626,142595,259687,275366,242199,319973,173844,93795
4/30/2008,269514,129679,109866,234332,440217,250128,319005,508091,272095,232045,168998,584028,125577,204583,223786,121857,123121,116618,152378,358045,348456,209747,133430,214813,139439,115473,174628,126273,260249,381856,281938,240012,129496,105211,282794,176959,297673,164874,150121,143352,142251,257871,272642,241523,317659,172745,93812
5/31/2008,269829,129556,109739,230052,428669,248987,317197,504885,270994,227418,168161,584727,125453,202851,223051,121668,123134,116457,152309,355720,344254,208754,131743,213161,139008,114873,174400,125904,258030,378169,275727,239275,129090,105179,280398,176497,294645,164625,150253,143132,141864,255936,269970,241044,314783,171981,93788
6/30/2008,269881,129528,109494,225406,417992,247980,315709,501657,268854,223197,167256,583735,125373,201208,220359,121476,123133,116302,152240,353685,339576,207424,130033,211537,138612,114331,174030,125770,255802,374900,268843,238403,128624,105317,278151,176021,291705,164424,150423,142850,141491,253652,267866,240466,311769,171437,93811
7/31/2008,270016,129475,109277,220847,407293,246963,314091,498142,266688,218858,166175,579825,125289,199765,219096,121346,123103,116285,152247,351741,334553,206667,128336,209877,138246,113817,173578,125652,253431,372029,261680,237377,128252,105297,276014,175338,288347,163904,150640,142454,141201,251353,265755,239871,308915,170997,93878
8/31/2008,270206,129204,108995,215193,397252,246097,311708,494051,264381,214528,164960,573532,125194,198330,216407,121114,123109,116293,152250,349748,329920,205272,126370,207976,137815,113427,173150,125526,251306,369405,253860,236390,127840,105240,273628,174631,284927,163237,150861,141924,140796,248796,263451,239765,305825,170414,93854
9/30/2008,270171,128924,108796,210110,388117,245504,308908,491199,262554,210233,163793,567793,125159,196866,214791,120839,123097,116307,152236,347328,325599,204177,124629,206066,137424,112996,172686,125164,249369,366634,246072,235347,127350,105236,271155,173993,281348,162572,151138,141390,140300,246755,261118,239430,302648,169743,93413
10/31/2008,270281,128478,108531,205636,379950,244992,306167,489313,260355,205844,162492,565090,125068,195394,212180,120611,123076,116249,152190,344883,321696,202985,123190,204133,137058,112665,172179,124778,247283,363519,238265,234051,126723,105360,268572,173439,277786,162046,151390,140900,139759,244765,259160,238889,299675,168782,92872
11/30/2008,270161,128173,108292,201572,370935,244315,303995,486948,258825,201310,160915,561738,124962,193630,210027,120298,122873,116150,151853,342272,318603,202329,121811,202410,136483,112427,171490,124350,245784,360087,230147,232665,126212,105320,266108,172809,274019,161262,151603,140430,139189,242782,257327,238204,296737,167734,92428
12/31/2008,269793,127675,107955,197212,362133,243457,302185,482610,257340,196938,158978,557314,124819,191450,207015,119823,122699,116021,151682,339623,315428,201076,120059,200770,135825,112252,170736,123861,244071,356868,223418,231396,125591,105221,263442,172068,269962,160475,151638,139940,138638,240480,255494,237568,293747,166687,92329
1/31/2009,269350,127277,107569,193530,353972,242576,300530,479696,256276,192838,157191,552452,124566,189091,203959,119433,122443,115975,151478,337025,311840,199553,117891,199097,135189,111854,169928,123426,242937,354152,216527,230199,124887,105090,261273,171286,265787,159505,151653,139529,138344,237841,253444,237007,291239,165098,92443
2/28/2009,269926,126688,107083,190701,348860,241968,299116,478320,254828,189171,155508,545805,124306,186499,201659,119041,122407,115945,151515,334471,307784,198058,115864,197459,134715,111461,169346,123222,241532,351498,211426,229134,124043,104887,258588,170701,262111,158736,151545,139157,138328,235465,251582,236696,288346,164071,92396
3/31/2009,270590,126153,106572,187587,344372,241473,297172,477017,252939,185653,153944,540354,124066,184156,199125,118801,122318,115830,151443,332145,303541,196418,113905,195313,134236,111121,168757,123456,240413,348913,206105,228053,123290,104793,255874,170222,258505,158107,151431,138690,138397,233103,249814,236313,285200,163081,92311
