State,Label,Current Population,latitude,longitude,PercentPopChg_96,Trend 1996,1996,PercentPopChg_97,Trend 1997,1997,PercentPopChg_98,Trend 1998,1998,PercentPopChg_99,Trend 1999,1999,PercentPopChg_2000,Trend 2000,2000,PercentPopChg_2001,Trend 2001,2001,PercentPopChg_2002,Trend 2002,2002,PercentPopChg_2003,Trend 2003,2003,PercentPopChg_2004,Trend 2004,2004,PercentPopChg_2005,Trend 2005,2005,PercentPopChg_2006,Trend 2006,2006,PercentPopChg_2007,Trend 2007,2007,PercentPopChg_2008,Trend 2008,2008,PercentPopChg_2009,Trend 2009,2009,PercentPopChg_2010,Trend 2010,2010,PercentPopChg_2011,Trend 2011,2011,PercentPopChg_2012,Trend 2012,2012,PercentPopChg_2013,Trend 2013,2013,PercentPopChg_2014,Trend 2014,2014,PercentPopChg_2015,Trend 2015,2015,PercentPopChg_2016,Trend 2016,2016,PercentPopChg_2017,Trend 2017,2017,PercentPopChg_2018,Trend 2018,2018,PercentPopChg_2019,2019,2020,Trend 2019
Georgia,GA,10617423,32.157435,-82.907123,2.36,Increasing,"$104,654 ",2.45,Increasing,"$109,482 ",2.32,Increasing,"$115,962 ",2,Increasing,"$122,991 ",1.75,Increasing,"$131,766 ",0.5,Increasing,"$141,244 ",1.82,Increasing,"$147,756 ",1.57,Increasing,"$152,155 ",1.35,Increasing,"$156,775 ",1.7,Increasing,"$162,698 ",1.79,Increasing,"$169,321 ",2.58,Increasing,"$173,102 ",2.12,Increasing,"$166,170 ",1.22,Increasing,"$148,927 ",0.24,Increasing,"$138,670 ",0.92,Increasing,"$125,542 ",1,Increasing,"$122,092 ",0.71,Increasing,"$131,807 ",0.94,Increasing,"$144,349 ",1.09,Increasing,"$152,830 ",1.2,Increasing,"$161,914 ",1.04,Increasing,"$172,360 ",0.96,Increasing,"$187,276 ",1,"$199,556 ","$206,277 ",Increasing
Hawaii,HI,1415872,19.898682,-155.665857,0.58,Increasing,"$255,517 ",0.66,Increasing,"$241,220 ",0.3,Increasing,"$238,270 ",-0.4,Decreasing,"$237,479 ",0.1,Increasing,"$247,530 ",0.16,Increasing,"$262,140 ",1.02,Increasing,"$282,769 ",1.11,Increasing,"$324,323 ",0.93,Increasing,"$395,276 ",1.79,Increasing,"$496,180 ",1.5,Increasing,"$581,887 ",1.32,Increasing,"$590,116 ",0.45,Increasing,"$576,324 ",1.09,Increasing,"$525,517 ",0.27,Increasing,"$520,488 ",1.11,Increasing,"$520,165 ",1.11,Increasing,"$518,928 ",0.95,Increasing,"$548,447 ",0.45,Increasing,"$596,587 ",0.53,Increasing,"$620,159 ",0.39,Increasing,"$648,148 ",-0.22,Decreasing,"$687,813 ",-0.27,Decreasing,"$719,953 ",-0.33,"$726,823 ","$725,070 ",Decreasing
Idaho,ID,1787065,44.068202,-114.742041,2.19,Increasing,"$123,468 ",2.11,Increasing,"$126,396 ",1.94,Increasing,"$128,557 ",1.7,Increasing,"$130,107 ",1.43,Increasing,"$132,641 ",0.42,Increasing,"$137,581 ",1.58,Increasing,"$141,543 ",1.55,Increasing,"$145,164 ",1.72,Increasing,"$151,640 ",2.08,Increasing,"$167,357 ",2.62,Increasing,"$192,453 ",2.83,Increasing,"$202,309 ",2.48,Increasing,"$199,879 ",1.31,Increasing,"$177,739 ",0.2,Increasing,"$161,264 ",0.83,Increasing,"$145,545 ",0.72,Increasing,"$150,909 ",0.99,Increasing,"$169,529 ",1.22,Increasing,"$178,674 ",1.21,Increasing,"$187,474 ",1.86,Increasing,"$202,997 ",2.06,Increasing,"$221,407 ",1.87,Increasing,"$249,822 ",2.04,"$279,471 ","$298,730 ",Increasing
Illinois,IL,12671821,40.633125,-89.398528,0.78,Increasing,"$139,181 ",0.69,Increasing,"$139,021 ",0.71,Increasing,"$129,617 ",0.5,Increasing,"$139,800 ",0.49,Increasing,"$149,646 ",0.12,Increasing,"$161,322 ",0.44,Increasing,"$173,265 ",0.3,Increasing,"$185,937 ",0.24,Increasing,"$200,417 ",0.27,Increasing,"$217,179 ",0.16,Increasing,"$231,358 ",0.27,Increasing,"$233,224 ",0.41,Increasing,"$219,080 ",0.39,Increasing,"$193,435 ",0.07,Increasing,"$180,952 ",0.21,Increasing,"$165,503 ",0.12,Increasing,"$155,771 ",0.1,Increasing,"$161,580 ",-0.08,Decreasing,"$171,194 ",-0.2,Decreasing,"$176,258 ",-0.3,Decreasing,"$182,973 ",-0.33,Decreasing,"$192,202 ",-0.44,Decreasing,"$199,868 ",-0.4,"$203,826 ","$205,522 ",Decreasing
Indiana,IN,6732219,40.551217,-85.602364,0.93,Increasing,"$107,581 ",0.83,Increasing,"$103,465 ",0.73,Increasing,"$104,993 ",0.6,Increasing,"$104,417 ",0.59,Increasing,"$100,924 ",0.19,Increasing,"$104,560 ",0.59,Increasing,"$106,151 ",0.46,Increasing,"$107,901 ",0.66,Increasing,"$110,818 ",0.59,Increasing,"$117,106 ",0.73,Increasing,"$120,015 ",0.86,Increasing,"$121,742 ",0.74,Increasing,"$121,286 ",0.54,Increasing,"$117,919 ",0.1,Increasing,"$116,400 ",0.4,Increasing,"$113,106 ",0.32,Increasing,"$112,555 ",0.47,Increasing,"$114,235 ",0.38,Increasing,"$118,116 ",0.22,Increasing,"$121,770 ",0.39,Increasing,"$126,436 ",0.36,Increasing,"$133,837 ",0.56,Increasing,"$143,483 ",0.55,"$152,966 ","$158,876 ",Increasing
Iowa,IA,3155070,41.878003,-93.097702,0.44,Increasing,"$81,368 ",0.39,Increasing,"$83,487 ",0.41,Increasing,"$85,624 ",0.3,Increasing,"$89,952 ",0.3,Increasing,"$94,873 ",0.09,Increasing,"$99,373 ",0.1,Increasing,"$103,569 ",0.08,Increasing,"$107,930 ",0.26,Increasing,"$112,430 ",0.4,Increasing,"$117,920 ",0.37,Increasing,"$122,458 ",0.61,Increasing,"$125,059 ",0.56,Increasing,"$125,385 ",0.53,Increasing,"$123,844 ",0.13,Increasing,"$123,341 ",0.51,Increasing,"$120,433 ",0.32,Increasing,"$120,954 ",0.54,Increasing,"$124,420 ",0.53,Increasing,"$127,832 ",0.37,Increasing,"$131,770 ",0.33,Increasing,"$136,828 ",0.32,Increasing,"$142,779 ",0.22,Increasing,"$148,263 ",0.2,"$153,731 ","$156,707 ",Increasing
Kansas,KS,2913314,39.011902,-98.484246,0.52,Increasing,"$77,327 ",0.79,Increasing,"$80,261 ",0.96,Increasing,"$83,301 ",0.6,Increasing,"$87,464 ",0.38,Increasing,"$91,660 ",0.2,Increasing,"$97,443 ",0.31,Increasing,"$100,973 ",0.42,Increasing,"$103,585 ",0.35,Increasing,"$108,553 ",0.42,Increasing,"$114,740 ",0.4,Increasing,"$118,140 ",0.64,Increasing,"$121,968 ",0.75,Increasing,"$123,067 ",0.88,Increasing,"$122,465 ",0.18,Increasing,"$121,828 ",0.38,Increasing,"$117,941 ",0.56,Increasing,"$117,095 ",0.27,Increasing,"$118,763 ",0.25,Increasing,"$121,049 ",0.29,Increasing,"$125,407 ",0.06,Increasing,"$130,403 ",-0.07,Decreasing,"$136,657 ",0.09,Increasing,"$143,754 ",0.07,"$149,979 ","$154,107 ",Increasing
Kentucky,KY,4467673,37.839333,-84.270018,0.83,Increasing,"$76,802 ",0.85,Increasing,"$80,090 ",0.83,Increasing,"$84,457 ",0.7,Increasing,"$87,982 ",0.59,Increasing,"$91,978 ",0.18,Increasing,"$97,060 ",0.47,Increasing,"$100,320 ",0.53,Increasing,"$103,550 ",0.67,Increasing,"$106,843 ",0.7,Increasing,"$111,266 ",0.88,Increasing,"$115,041 ",0.87,Increasing,"$116,799 ",0.89,Increasing,"$116,441 ",0.63,Increasing,"$115,135 ",0.2,Increasing,"$114,260 ",0.5,Increasing,"$110,782 ",0.38,Increasing,"$110,266 ",0.42,Increasing,"$111,841 ",0.22,Increasing,"$114,406 ",0.26,Increasing,"$118,284 ",0.28,Increasing,"$123,612 ",0.32,Increasing,"$130,820 ",0.2,Increasing,"$138,290 ",0.15,"$144,852 ","$150,034 ",Increasing
Louisiana,LA,4648794,31.244823,-92.145024,0.46,Increasing,"$85,258 ",0.5,Increasing,"$89,253 ",0.44,Increasing,"$94,659 ",0.2,Increasing,"$100,087 ",0.18,Increasing,"$104,964 ",0.07,Increasing,"$110,601 ",0.13,Increasing,"$115,493 ",0.43,Increasing,"$119,470 ",0.53,Increasing,"$125,207 ",0.69,Increasing,"$132,367 ",0.54,Increasing,"$145,064 ",-5.99,Decreasing,"$151,467 ",1.69,Increasing,"$152,328 ",1.26,Increasing,"$151,001 ",0.24,Increasing,"$150,442 ",0.68,Increasing,"$146,136 ",0.55,Increasing,"$145,649 ",0.51,Increasing,"$147,576 ",0.42,Increasing,"$150,802 ",0.44,Increasing,"$154,377 ",0.29,Increasing,"$158,388 ",-0.16,Decreasing,"$162,663 ",-0.23,Decreasing,"$166,630 ",-0.23,"$167,599 ","$170,762 ",Decreasing
Maine,ME,1344212,45.253783,-69.445469,0.45,Increasing,"$96,525 ",0.46,Increasing,"$98,391 ",0.35,Increasing,"$99,980 ",0.4,Increasing,"$107,128 ",0.64,Increasing,"$117,917 ",0.17,Increasing,"$130,753 ",0.67,Increasing,"$146,011 ",0.8,Increasing,"$162,593 ",0.81,Increasing,"$185,239 ",0.55,Increasing,"$206,847 ",0.39,Increasing,"$213,374 ",0.37,Increasing,"$212,516 ",0.26,Increasing,"$206,808 ",-0.07,Decreasing,"$192,863 ",-0.05,Decreasing,"$187,852 ",0.05,Increasing,"$183,933 ",-0.04,Decreasing,"$181,153 ",0.02,Increasing,"$184,518 ",0.19,Increasing,"$186,097 ",-0.17,Decreasing,"$190,925 ",0.23,Increasing,"$199,901 ",0.25,Increasing,"$212,217 ",0.33,Increasing,"$225,238 ",0.38,"$234,816 ","$247,668 ",Increasing
