DATE,MEDIAN,AVG
6/30/2016,199303,224548
7/31/2016,199495,225514
8/31/2016,200197,226534
9/30/2016,201410,227623
10/31/2016,202778,228671
11/30/2016,204288,229788
12/31/2016,205271,230840
1/31/2017,206284,231938
2/28/2017,207091,232978
3/31/2017,207960,234113
4/30/2017,209139,235267
5/31/2017,210456,236440
6/30/2017,211922,237609
7/31/2017,213388,238761
8/31/2017,214466,239850
9/30/2017,215328,241036
10/31/2017,216070,242333
11/30/2017,216851,243727
12/31/2017,217653,245065
1/31/2018,218942,246284
2/28/2018,220597,247598
3/31/2018,222363,248757
4/30/2018,223234,249934
5/31/2018,224009,251029
6/30/2018,224766,252222
7/31/2018,225842,253424
8/31/2018,226947,254542
9/30/2018,227883,255554
10/31/2018,228659,256499
11/30/2018,229345,257405
12/31/2018,230265,258268
1/31/2019,230581,259023
2/28/2019,230968,259712
3/31/2019,231163,260411
4/30/2019,232046,261113
5/31/2019,232816,261771
6/30/2019,233740,262424
7/31/2019,234575,263075
8/31/2019,235553,263816
9/30/2019,236768,264582
10/31/2019,238241,265359
11/30/2019,239852,266110
12/31/2019,241491,266939
1/31/2020,243485,267908
2/29/2020,245445,268899
3/31/2020,247668,269957
